분기,기준_년분기_코드,사분면,사분면_레이블,상권유형,당월_매출_금액,oof_residual,카페_검색지수,상권_코드_명
2023Q3,20233,Q2_잠재수요미실현,Q2_잠재수요미실현,관광특구,8635810322.0,-1.2911418067344762,2.446944618550174,
2023Q4,20234,Q2_잠재수요미실현,Q2_잠재수요미실현,관광특구,10567344870.0,-1.0693854230304185,2.3534055998733776,
2024Q1,20241,Q2_잠재수요미실현,Q2_잠재수요미실현,관광특구,9363648004.0,-1.1663874207898957,2.4735654680038204,
2024Q2,20242,Q2_잠재수요미실현,Q2_잠재수요미실현,관광특구,11528511757.0,-1.1135198710994416,2.2946553831417624,
2024Q3,20243,Q2_잠재수요미실현,Q2_잠재수요미실현,관광특구,11072510369.0,-1.1049534261494145,2.268499056724028,
2024Q4,20244,Q2_잠재수요미실현,Q2_잠재수요미실현,관광특구,10912180197.0,-1.4515216205487782,2.148196082457816,
2025Q1,20251,Q2_잠재수요미실현,Q2_잠재수요미실현,관광특구,9764662530.0,-1.4851893099863815,2.326168758454106,
2025Q2,20252,Q2_잠재수요미실현,Q2_잠재수요미실현,관광특구,11637349854.0,-1.4609830303855738,2.134351564823796,
2025Q3,20253,Q2_잠재수요미실현,Q2_잠재수요미실현,관광특구,10562653774.0,-1.5675414422243603,2.038376914414414,
2023Q3,20233,Q1_검증시장공백,Q1_검증시장공백,골목상권,745810788.0,3.018963144070682,2.446944618550174,
2023Q4,20234,Q1_검증시장공백,Q1_검증시장공백,골목상권,720623013.0,3.065011702474848,2.3534055998733776,
2024Q1,20241,Q1_검증시장공백,Q1_검증시장공백,골목상권,592404597.0,2.8843020170479754,2.4735654680038204,
2024Q2,20242,Q1_검증시장공백,Q1_검증시장공백,골목상권,894130231.0,3.136630672220715,2.2946553831417624,
2024Q3,20243,Q1_검증시장공백,Q1_검증시장공백,골목상권,783382054.0,3.0579853038103444,2.268499056724028,
2024Q4,20244,Q1_검증시장공백,Q1_검증시장공백,골목상권,794200026.0,3.17738234903916,2.148196082457816,
2025Q1,20251,Q1_검증시장공백,Q1_검증시장공백,골목상권,559918964.0,2.9008192923290714,2.326168758454106,
2025Q2,20252,Q1_검증시장공백,Q1_검증시장공백,골목상권,762860723.0,3.0721482238142457,2.134351564823796,
2025Q3,20253,Q1_검증시장공백,Q1_검증시장공백,골목상권,696890668.0,2.965718810357899,2.038376914414414,
2023Q3,20233,Q1_검증시장공백,Q1_검증시장공백,골목상권,1491119067.0,3.153786193258309,2.446944618550174,
2023Q4,20234,Q1_검증시장공백,Q1_검증시장공백,골목상권,1425114812.0,3.1999495048698314,2.3534055998733776,
2024Q1,20241,Q1_검증시장공백,Q1_검증시장공백,골목상권,1318822416.0,3.158735066155085,2.4735654680038204,
2024Q2,20242,Q1_검증시장공백,Q1_검증시장공백,골목상권,1472476083.0,3.106805660949981,2.2946553831417624,
2024Q3,20243,Q1_검증시장공백,Q1_검증시장공백,골목상권,1439651141.0,3.137581317322006,2.268499056724028,
2024Q4,20244,Q1_검증시장공백,Q1_검증시장공백,골목상권,1411995523.0,3.1991758613404078,2.148196082457816,
2025Q1,20251,Q1_검증시장공백,Q1_검증시장공백,골목상권,1388030319.0,3.25713104967895,2.326168758454106,
2025Q2,20252,Q1_검증시장공백,Q1_검증시장공백,골목상권,1428151088.0,3.132901973574217,2.134351564823796,
2025Q3,20253,Q1_검증시장공백,Q1_검증시장공백,골목상권,1433479208.0,3.1357085320456903,2.038376914414414,
2023Q3,20233,Q1_검증시장공백,Q1_검증시장공백,골목상권,1231265650.0,3.084394417767616,2.446944618550174,
2023Q4,20234,Q1_검증시장공백,Q1_검증시장공백,골목상권,1351759780.0,3.2242061898205776,2.3534055998733776,
2024Q1,20241,Q1_검증시장공백,Q1_검증시장공백,골목상권,1196587067.0,3.1155303043190408,2.4735654680038204,
2024Q2,20242,Q1_검증시장공백,Q1_검증시장공백,골목상권,1889660915.0,3.4132569450003487,2.2946553831417624,
2024Q3,20243,Q1_검증시장공백,Q1_검증시장공백,골목상권,1501326909.0,3.242765169084993,2.268499056724028,
2024Q4,20244,Q1_검증시장공백,Q1_검증시장공백,골목상권,1667773261.0,3.4260947558199,2.148196082457816,
2025Q1,20251,Q1_검증시장공백,Q1_검증시장공백,골목상권,1304991818.0,3.264673518367108,2.326168758454106,
2025Q2,20252,Q1_검증시장공백,Q1_검증시장공백,골목상권,1747325067.0,3.413913858286889,2.134351564823796,
2025Q3,20253,Q1_검증시장공백,Q1_검증시장공백,골목상권,1435329365.0,3.197972259577181,2.038376914414414,
2023Q3,20233,Q1_검증시장공백,Q1_검증시장공백,골목상권,1483367457.0,3.1166393571366804,2.446944618550174,
2023Q4,20234,Q1_검증시장공백,Q1_검증시장공백,골목상권,1488294857.0,3.215590585432992,2.3534055998733776,
2024Q1,20241,Q1_검증시장공백,Q1_검증시장공백,골목상권,1497373187.0,3.2256124705010407,2.4735654680038204,
2024Q2,20242,Q1_검증시장공백,Q1_검증시장공백,골목상권,1478019191.0,3.062619757798199,2.2946553831417624,
2024Q3,20243,Q1_검증시장공백,Q1_검증시장공백,골목상권,1481010346.0,3.1112324022897155,2.268499056724028,
2024Q4,20244,Q1_검증시장공백,Q1_검증시장공백,골목상권,1466076794.0,3.167299909523045,2.148196082457816,
2025Q1,20251,Q1_검증시장공백,Q1_검증시장공백,골목상권,1423628882.0,3.2323766497631183,2.326168758454106,
2025Q2,20252,Q1_검증시장공백,Q1_검증시장공백,골목상권,1506865267.0,3.144690609969924,2.134351564823796,
2025Q3,20253,Q1_검증시장공백,Q1_검증시장공백,골목상권,1583382018.0,3.1789725105055027,2.038376914414414,
2023Q3,20233,Q2_잠재수요미실현,Q2_잠재수요미실현,발달상권,3782987182.0,-0.719620922805067,2.446944618550174,
2023Q4,20234,Q2_잠재수요미실현,Q2_잠재수요미실현,발달상권,3267862198.0,-0.8704823599545435,2.3534055998733776,
2024Q1,20241,Q2_잠재수요미실현,Q2_잠재수요미실현,발달상권,3349150335.0,-0.8371438214840659,2.4735654680038204,
2024Q2,20242,Q2_잠재수요미실현,Q2_잠재수요미실현,발달상권,3602657673.0,-0.8840082773093876,2.2946553831417624,
2024Q3,20243,Q2_잠재수요미실현,Q2_잠재수요미실현,발달상권,3534241180.0,-0.8253061809751898,2.268499056724028,
2024Q4,20244,Q2_잠재수요미실현,Q2_잠재수요미실현,발달상권,3519932147.0,-0.7559103796974682,2.148196082457816,
2025Q1,20251,Q2_잠재수요미실현,Q2_잠재수요미실현,발달상권,3206113379.0,-0.8195163059666726,2.326168758454106,
2025Q2,20252,Q2_잠재수요미실현,Q2_잠재수요미실현,발달상권,3466060401.0,-0.8064403017233239,2.134351564823796,
2025Q3,20253,Q2_잠재수요미실현,Q2_잠재수요미실현,발달상권,3724271011.0,-0.7179895796943647,2.038376914414414,
2023Q3,20233,Q2_잠재수요미실현,Q2_잠재수요미실현,발달상권,79940718.0,-2.5036129177610604,2.446944618550174,
2023Q4,20234,Q2_잠재수요미실현,Q2_잠재수요미실현,발달상권,54147890.0,-2.7745598067406334,2.3534055998733776,
2024Q1,20241,Q2_잠재수요미실현,Q2_잠재수요미실현,발달상권,48542276.0,-2.8806419583044693,2.4735654680038204,
2024Q2,20242,Q2_잠재수요미실현,Q2_잠재수요미실현,발달상권,53671413.0,-2.9263788150985235,2.2946553831417624,
2024Q3,20243,Q2_잠재수요미실현,Q2_잠재수요미실현,발달상권,43658385.0,-3.081574429059586,2.268499056724028,
2024Q4,20244,Q2_잠재수요미실현,Q2_잠재수요미실현,발달상권,39152873.0,-3.1372334116004303,2.148196082457816,
2025Q1,20251,Q2_잠재수요미실현,Q2_잠재수요미실현,발달상권,27075113.0,-3.410842560532263,2.326168758454106,
2025Q2,20252,Q2_잠재수요미실현,Q2_잠재수요미실현,발달상권,50142211.0,-2.9402818487376585,2.134351564823796,
2025Q3,20253,Q2_잠재수요미실현,Q2_잠재수요미실현,발달상권,56758843.0,-2.8314073176909247,2.038376914414414,
2023Q3,20233,Q2_잠재수요미실현,Q2_잠재수요미실현,발달상권,738714406.0,-1.42145263742038,2.446944618550174,
2023Q4,20234,Q2_잠재수요미실현,Q2_잠재수요미실현,발달상권,592421625.0,-1.454807792551236,2.3534055998733776,
2024Q1,20241,Q2_잠재수요미실현,Q2_잠재수요미실현,발달상권,652330960.0,-1.3515696398545105,2.4735654680038204,
2024Q2,20242,Q2_잠재수요미실현,Q2_잠재수요미실현,발달상권,718565314.0,-1.4172069771126914,2.2946553831417624,
2024Q3,20243,Q2_잠재수요미실현,Q2_잠재수요미실현,발달상권,1039567264.0,-0.997853711125856,2.268499056724028,
2024Q4,20244,Q2_잠재수요미실현,Q2_잠재수요미실현,발달상권,858670623.0,-1.150993898550766,2.148196082457816,
2025Q1,20251,Q2_잠재수요미실현,Q2_잠재수요미실현,발달상권,806912401.0,-1.1429208130534183,2.326168758454106,
2025Q2,20252,Q2_잠재수요미실현,Q2_잠재수요미실현,발달상권,950250823.0,-1.1187419453800231,2.134351564823796,
2025Q3,20253,Q2_잠재수요미실현,Q2_잠재수요미실현,발달상권,1076227043.0,-1.0053919942538876,2.038376914414414,
2023Q3,20233,Q2_잠재수요미실현,Q2_잠재수요미실현,발달상권,203333480.0,-2.0858231742192785,2.446944618550174,
2023Q4,20234,Q2_잠재수요미실현,Q2_잠재수요미실현,발달상권,285646475.0,-1.8011493486069163,2.3534055998733776,
2024Q1,20241,Q2_잠재수요미실현,Q2_잠재수요미실현,발달상권,330560727.0,-1.5103867202326209,2.4735654680038204,
2024Q2,20242,Q2_잠재수요미실현,Q2_잠재수요미실현,발달상권,381474231.0,-1.4918509444352637,2.2946553831417624,
2024Q3,20243,Q2_잠재수요미실현,Q2_잠재수요미실현,발달상권,348187059.0,-1.518155824073261,2.268499056724028,
2024Q4,20244,Q2_잠재수요미실현,Q2_잠재수요미실현,발달상권,314509209.0,-1.5633195972588003,2.148196082457816,
2025Q1,20251,Q2_잠재수요미실현,Q2_잠재수요미실현,발달상권,290590431.0,-1.515940779284069,2.326168758454106,
2025Q2,20252,Q2_잠재수요미실현,Q2_잠재수요미실현,발달상권,299305536.0,-1.6143503502696035,2.134351564823796,
2025Q3,20253,Q2_잠재수요미실현,Q2_잠재수요미실현,발달상권,363537523.0,-1.4382199739905277,2.038376914414414,
2023Q3,20233,Q1_검증시장공백,Q1_검증시장공백,전통시장,3224100246.0,3.312845298403872,2.446944618550174,
2023Q4,20234,Q1_검증시장공백,Q1_검증시장공백,전통시장,2814320346.0,3.332944714253923,2.3534055998733776,
2024Q1,20241,Q1_검증시장공백,Q1_검증시장공백,전통시장,2837193368.0,3.1639951826653245,2.4735654680038204,
2024Q2,20242,Q1_검증시장공백,Q1_검증시장공백,전통시장,2839027326.0,3.175020641264201,2.2946553831417624,
2024Q3,20243,Q1_검증시장공백,Q1_검증시장공백,전통시장,3326710873.0,3.355275867898289,2.268499056724028,
2024Q4,20244,Q1_검증시장공백,Q1_검증시장공백,전통시장,2798061815.0,3.3789439049427763,2.148196082457816,
2025Q1,20251,Q1_검증시장공백,Q1_검증시장공백,전통시장,3087254969.0,3.4271901139963354,2.326168758454106,
2025Q2,20252,Q1_검증시장공백,Q1_검증시장공백,전통시장,2968045119.0,3.41710935832484,2.134351564823796,
2025Q3,20253,Q1_검증시장공백,Q1_검증시장공백,전통시장,2690677938.0,3.2311428724263784,2.038376914414414,
2023Q3,20233,기준선,전체 중간값 (기준선),-,135483206.0,0.118199680975362,2.446944618550174,전체 중간값
2023Q4,20234,기준선,전체 중간값 (기준선),-,120275349.0,0.0964111257348463,2.3534055998733776,전체 중간값
2024Q1,20241,기준선,전체 중간값 (기준선),-,119706667.0,0.118135667639379,2.4735654680038204,전체 중간값
2024Q2,20242,기준선,전체 중간값 (기준선),-,136411657.0,0.0805256641141891,2.2946553831417624,전체 중간값
2024Q3,20243,기준선,전체 중간값 (기준선),-,131026462.0,0.10036152929577645,2.268499056724028,전체 중간값
2024Q4,20244,기준선,전체 중간값 (기준선),-,119852503.0,0.0756373103865364,2.148196082457816,전체 중간값
2025Q1,20251,기준선,전체 중간값 (기준선),-,109699938.0,0.0788400379380256,2.326168758454106,전체 중간값
2025Q2,20252,기준선,전체 중간값 (기준선),-,126335054.0,0.0698072181576137,2.134351564823796,전체 중간값
2025Q3,20253,기준선,전체 중간값 (기준선),-,131805981.5,0.1120927372912188,2.038376914414414,전체 중간값
