검색어,검색어_유형,기준_지역,키워드,대표_상권코드
청운효자동 찻집,행정동,청운효자동,찻집,3110008
독립문역 찻집,지하철역,독립문역,찻집,3110008
청운효자동 티룸,행정동,청운효자동,티룸,3110008
독립문역 티룸,지하철역,독립문역,티룸,3110008
청운효자동 티하우스,행정동,청운효자동,티하우스,3110008
독립문역 티하우스,지하철역,독립문역,티하우스,3110008
청운효자동 티카페,행정동,청운효자동,티카페,3110008
독립문역 티카페,지하철역,독립문역,티카페,3110008
청운효자동 다원,행정동,청운효자동,다원,3110008
독립문역 다원,지하철역,독립문역,다원,3110008
부암동 찻집,행정동,부암동,찻집,3110009
홍제역 찻집,지하철역,홍제역,찻집,3110009
부암동 티룸,행정동,부암동,티룸,3110009
홍제역 티룸,지하철역,홍제역,티룸,3110009
부암동 티하우스,행정동,부암동,티하우스,3110009
홍제역 티하우스,지하철역,홍제역,티하우스,3110009
부암동 티카페,행정동,부암동,티카페,3110009
홍제역 티카페,지하철역,홍제역,티카페,3110009
부암동 다원,행정동,부암동,다원,3110009
홍제역 다원,지하철역,홍제역,다원,3110009
평창동 찻집,행정동,평창동,찻집,3110010
평창동 티룸,행정동,평창동,티룸,3110010
평창동 티하우스,행정동,평창동,티하우스,3110010
평창동 티카페,행정동,평창동,티카페,3110010
평창동 다원,행정동,평창동,다원,3110010
가회동 찻집,행정동,가회동,찻집,3110017
광화문역 찻집,지하철역,광화문역,찻집,3110017
가회동 티룸,행정동,가회동,티룸,3110017
광화문역 티룸,지하철역,광화문역,티룸,3110017
가회동 티하우스,행정동,가회동,티하우스,3110017
광화문역 티하우스,지하철역,광화문역,티하우스,3110017
가회동 티카페,행정동,가회동,티카페,3110017
광화문역 티카페,지하철역,광화문역,티카페,3110017
가회동 다원,행정동,가회동,다원,3110017
광화문역 다원,지하철역,광화문역,다원,3110017
혜화역 찻집,지하철역,혜화역,찻집,3110018
혜화역 티룸,지하철역,혜화역,티룸,3110018
혜화역 티하우스,지하철역,혜화역,티하우스,3110018
혜화역 티카페,지하철역,혜화역,티카페,3110018
혜화역 다원,지하철역,혜화역,다원,3110018
종로1?2?3?4가동 찻집,행정동,종로1?2?3?4가동,찻집,3110019
종로3가역 찻집,지하철역,종로3가역,찻집,3110019
종로1?2?3?4가동 티룸,행정동,종로1?2?3?4가동,티룸,3110019
종로3가역 티룸,지하철역,종로3가역,티룸,3110019
종로1?2?3?4가동 티하우스,행정동,종로1?2?3?4가동,티하우스,3110019
종로3가역 티하우스,지하철역,종로3가역,티하우스,3110019
종로1?2?3?4가동 티카페,행정동,종로1?2?3?4가동,티카페,3110019
종로3가역 티카페,지하철역,종로3가역,티카페,3110019
종로1?2?3?4가동 다원,행정동,종로1?2?3?4가동,다원,3110019
종로3가역 다원,지하철역,종로3가역,다원,3110019
혜화동 찻집,행정동,혜화동,찻집,3110020
혜화동 티룸,행정동,혜화동,티룸,3110020
혜화동 티하우스,행정동,혜화동,티하우스,3110020
혜화동 티카페,행정동,혜화동,티카페,3110020
혜화동 다원,행정동,혜화동,다원,3110020
불광역 찻집,지하철역,불광역,찻집,3110001
불광역 티룸,지하철역,불광역,티룸,3110001
불광역 티하우스,지하철역,불광역,티하우스,3110001
불광역 티카페,지하철역,불광역,티카페,3110001
불광역 다원,지하철역,불광역,다원,3110001
무악동 찻집,행정동,무악동,찻집,3110002
무악동 티룸,행정동,무악동,티룸,3110002
무악동 티하우스,행정동,무악동,티하우스,3110002
무악동 티카페,행정동,무악동,티카페,3110002
무악동 다원,행정동,무악동,다원,3110002
교남동 찻집,행정동,교남동,찻집,3110004
교남동 티룸,행정동,교남동,티룸,3110004
교남동 티하우스,행정동,교남동,티하우스,3110004
교남동 티카페,행정동,교남동,티카페,3110004
교남동 다원,행정동,교남동,다원,3110004
숭인2동 찻집,행정동,숭인2동,찻집,3110035
동묘앞역 찻집,지하철역,동묘앞역,찻집,3110035
숭인2동 티룸,행정동,숭인2동,티룸,3110035
동묘앞역 티룸,지하철역,동묘앞역,티룸,3110035
숭인2동 티하우스,행정동,숭인2동,티하우스,3110035
동묘앞역 티하우스,지하철역,동묘앞역,티하우스,3110035
숭인2동 티카페,행정동,숭인2동,티카페,3110035
동묘앞역 티카페,지하철역,동묘앞역,티카페,3110035
숭인2동 다원,행정동,숭인2동,다원,3110035
동묘앞역 다원,지하철역,동묘앞역,다원,3110035
사직동 찻집,행정동,사직동,찻집,3110012
사직동 티룸,행정동,사직동,티룸,3110012
사직동 티하우스,행정동,사직동,티하우스,3110012
사직동 티카페,행정동,사직동,티카페,3110012
사직동 다원,행정동,사직동,다원,3110012
북한산보국문역 찻집,지하철역,북한산보국문역,찻집,3110016
북한산보국문역 티룸,지하철역,북한산보국문역,티룸,3110016
북한산보국문역 티하우스,지하철역,북한산보국문역,티하우스,3110016
북한산보국문역 티카페,지하철역,북한산보국문역,티카페,3110016
북한산보국문역 다원,지하철역,북한산보국문역,다원,3110016
신설동역 찻집,지하철역,신설동역,찻집,3110037
신설동역 티룸,지하철역,신설동역,티룸,3110037
신설동역 티하우스,지하철역,신설동역,티하우스,3110037
신설동역 티카페,지하철역,신설동역,티카페,3110037
신설동역 다원,지하철역,신설동역,다원,3110037
소공동 찻집,행정동,소공동,찻집,3110038
서대문역 찻집,지하철역,서대문역,찻집,3110038
소공동 티룸,행정동,소공동,티룸,3110038
서대문역 티룸,지하철역,서대문역,티룸,3110038
소공동 티하우스,행정동,소공동,티하우스,3110038
서대문역 티하우스,지하철역,서대문역,티하우스,3110038
소공동 티카페,행정동,소공동,티카페,3110038
서대문역 티카페,지하철역,서대문역,티카페,3110038
소공동 다원,행정동,소공동,다원,3110038
서대문역 다원,지하철역,서대문역,다원,3110038
회현동 찻집,행정동,회현동,찻집,3110039
회현역 찻집,지하철역,회현역,찻집,3110039
회현동 티룸,행정동,회현동,티룸,3110039
회현역 티룸,지하철역,회현역,티룸,3110039
회현동 티하우스,행정동,회현동,티하우스,3110039
회현역 티하우스,지하철역,회현역,티하우스,3110039
회현동 티카페,행정동,회현동,티카페,3110039
회현역 티카페,지하철역,회현역,티카페,3110039
회현동 다원,행정동,회현동,다원,3110039
회현역 다원,지하철역,회현역,다원,3110039
이화동 찻집,행정동,이화동,찻집,3110023
이화동 티룸,행정동,이화동,티룸,3110023
이화동 티하우스,행정동,이화동,티하우스,3110023
이화동 티카페,행정동,이화동,티카페,3110023
이화동 다원,행정동,이화동,다원,3110023
한성대입구역 찻집,지하철역,한성대입구역,찻집,3110024
한성대입구역 티룸,지하철역,한성대입구역,티룸,3110024
한성대입구역 티하우스,지하철역,한성대입구역,티하우스,3110024
한성대입구역 티카페,지하철역,한성대입구역,티카페,3110024
한성대입구역 다원,지하철역,한성대입구역,다원,3110024
종로5?6가동 찻집,행정동,종로5?6가동,찻집,3110025
종로5가역 찻집,지하철역,종로5가역,찻집,3110025
종로5?6가동 티룸,행정동,종로5?6가동,티룸,3110025
종로5가역 티룸,지하철역,종로5가역,티룸,3110025
종로5?6가동 티하우스,행정동,종로5?6가동,티하우스,3110025
종로5가역 티하우스,지하철역,종로5가역,티하우스,3110025
종로5?6가동 티카페,행정동,종로5?6가동,티카페,3110025
종로5가역 티카페,지하철역,종로5가역,티카페,3110025
종로5?6가동 다원,행정동,종로5?6가동,다원,3110025
종로5가역 다원,지하철역,종로5가역,다원,3110025
동대문역 찻집,지하철역,동대문역,찻집,3110028
동대문역 티룸,지하철역,동대문역,티룸,3110028
동대문역 티하우스,지하철역,동대문역,티하우스,3110028
동대문역 티카페,지하철역,동대문역,티카페,3110028
동대문역 다원,지하철역,동대문역,다원,3110028
창신2동 찻집,행정동,창신2동,찻집,3110029
창신2동 티룸,행정동,창신2동,티룸,3110029
창신2동 티하우스,행정동,창신2동,티하우스,3110029
창신2동 티카페,행정동,창신2동,티카페,3110029
창신2동 다원,행정동,창신2동,다원,3110029
창신1동 찻집,행정동,창신1동,찻집,3110030
창신1동 티룸,행정동,창신1동,티룸,3110030
창신1동 티하우스,행정동,창신1동,티하우스,3110030
창신1동 티카페,행정동,창신1동,티카페,3110030
창신1동 다원,행정동,창신1동,다원,3110030
창신3동 찻집,행정동,창신3동,찻집,3110031
창신역 찻집,지하철역,창신역,찻집,3110031
창신3동 티룸,행정동,창신3동,티룸,3110031
창신역 티룸,지하철역,창신역,티룸,3110031
창신3동 티하우스,행정동,창신3동,티하우스,3110031
창신역 티하우스,지하철역,창신역,티하우스,3110031
창신3동 티카페,행정동,창신3동,티카페,3110031
창신역 티카페,지하철역,창신역,티카페,3110031
창신3동 다원,행정동,창신3동,다원,3110031
창신역 다원,지하철역,창신역,다원,3110031
숭인1동 찻집,행정동,숭인1동,찻집,3110033
숭인1동 티룸,행정동,숭인1동,티룸,3110033
숭인1동 티하우스,행정동,숭인1동,티하우스,3110033
숭인1동 티카페,행정동,숭인1동,티카페,3110033
숭인1동 다원,행정동,숭인1동,다원,3110033
황학동 찻집,행정동,황학동,찻집,3110057
신당역 찻집,지하철역,신당역,찻집,3110057
황학동 티룸,행정동,황학동,티룸,3110057
신당역 티룸,지하철역,신당역,티룸,3110057
황학동 티하우스,행정동,황학동,티하우스,3110057
신당역 티하우스,지하철역,신당역,티하우스,3110057
황학동 티카페,행정동,황학동,티카페,3110057
신당역 티카페,지하철역,신당역,티카페,3110057
황학동 다원,행정동,황학동,다원,3110057
신당역 다원,지하철역,신당역,다원,3110057
원효로2동 찻집,행정동,원효로2동,찻집,3110058
효창공원앞역 찻집,지하철역,효창공원앞역,찻집,3110058
원효로2동 티룸,행정동,원효로2동,티룸,3110058
효창공원앞역 티룸,지하철역,효창공원앞역,티룸,3110058
원효로2동 티하우스,행정동,원효로2동,티하우스,3110058
효창공원앞역 티하우스,지하철역,효창공원앞역,티하우스,3110058
원효로2동 티카페,행정동,원효로2동,티카페,3110058
효창공원앞역 티카페,지하철역,효창공원앞역,티카페,3110058
원효로2동 다원,행정동,원효로2동,다원,3110058
효창공원앞역 다원,지하철역,효창공원앞역,다원,3110058
이촌2동 찻집,행정동,이촌2동,찻집,3110059
이촌2동 티룸,행정동,이촌2동,티룸,3110059
이촌2동 티하우스,행정동,이촌2동,티하우스,3110059
이촌2동 티카페,행정동,이촌2동,티카페,3110059
이촌2동 다원,행정동,이촌2동,다원,3110059
명동 찻집,행정동,명동,찻집,3110041
명동 티룸,행정동,명동,티룸,3110041
명동 티하우스,행정동,명동,티하우스,3110041
명동 티카페,행정동,명동,티카페,3110041
명동 다원,행정동,명동,다원,3110041
필동 찻집,행정동,필동,찻집,3110042
충무로역 찻집,지하철역,충무로역,찻집,3110042
필동 티룸,행정동,필동,티룸,3110042
충무로역 티룸,지하철역,충무로역,티룸,3110042
필동 티하우스,행정동,필동,티하우스,3110042
충무로역 티하우스,지하철역,충무로역,티하우스,3110042
필동 티카페,행정동,필동,티카페,3110042
충무로역 티카페,지하철역,충무로역,티카페,3110042
필동 다원,행정동,필동,다원,3110042
충무로역 다원,지하철역,충무로역,다원,3110042
장충동 찻집,행정동,장충동,찻집,3110043
장충동 티룸,행정동,장충동,티룸,3110043
장충동 티하우스,행정동,장충동,티하우스,3110043
장충동 티카페,행정동,장충동,티카페,3110043
장충동 다원,행정동,장충동,다원,3110043
동대문역사문화공원역 찻집,지하철역,동대문역사문화공원역,찻집,3110044
동대문역사문화공원역 티룸,지하철역,동대문역사문화공원역,티룸,3110044
동대문역사문화공원역 티하우스,지하철역,동대문역사문화공원역,티하우스,3110044
동대문역사문화공원역 티카페,지하철역,동대문역사문화공원역,티카페,3110044
동대문역사문화공원역 다원,지하철역,동대문역사문화공원역,다원,3110044
다산동 찻집,행정동,다산동,찻집,3110046
약수역 찻집,지하철역,약수역,찻집,3110046
다산동 티룸,행정동,다산동,티룸,3110046
약수역 티룸,지하철역,약수역,티룸,3110046
다산동 티하우스,행정동,다산동,티하우스,3110046
약수역 티하우스,지하철역,약수역,티하우스,3110046
다산동 티카페,행정동,다산동,티카페,3110046
약수역 티카페,지하철역,약수역,티카페,3110046
다산동 다원,행정동,다산동,다원,3110046
약수역 다원,지하철역,약수역,다원,3110046
청구역 찻집,지하철역,청구역,찻집,3110048
청구역 티룸,지하철역,청구역,티룸,3110048
청구역 티하우스,지하철역,청구역,티하우스,3110048
청구역 티카페,지하철역,청구역,티카페,3110048
청구역 다원,지하철역,청구역,다원,3110048
신당동 찻집,행정동,신당동,찻집,3110053
신당동 티룸,행정동,신당동,티룸,3110053
신당동 티하우스,행정동,신당동,티하우스,3110053
신당동 티카페,행정동,신당동,티카페,3110053
신당동 다원,행정동,신당동,다원,3110053
청구동 찻집,행정동,청구동,찻집,3110054
청구동 티룸,행정동,청구동,티룸,3110054
청구동 티하우스,행정동,청구동,티하우스,3110054
청구동 티카페,행정동,청구동,티카페,3110054
청구동 다원,행정동,청구동,다원,3110054
신당5동 찻집,행정동,신당5동,찻집,3110056
신당5동 티룸,행정동,신당5동,티룸,3110056
신당5동 티하우스,행정동,신당5동,티하우스,3110056
신당5동 티카페,행정동,신당5동,티카페,3110056
신당5동 다원,행정동,신당5동,다원,3110056
후암동 찻집,행정동,후암동,찻집,3110079
숙대입구역 찻집,지하철역,숙대입구역,찻집,3110079
후암동 티룸,행정동,후암동,티룸,3110079
숙대입구역 티룸,지하철역,숙대입구역,티룸,3110079
후암동 티하우스,행정동,후암동,티하우스,3110079
숙대입구역 티하우스,지하철역,숙대입구역,티하우스,3110079
후암동 티카페,행정동,후암동,티카페,3110079
숙대입구역 티카페,지하철역,숙대입구역,티카페,3110079
후암동 다원,행정동,후암동,다원,3110079
숙대입구역 다원,지하철역,숙대입구역,다원,3110079
용산2가동 찻집,행정동,용산2가동,찻집,3110081
용산2가동 티룸,행정동,용산2가동,티룸,3110081
용산2가동 티하우스,행정동,용산2가동,티하우스,3110081
용산2가동 티카페,행정동,용산2가동,티카페,3110081
용산2가동 다원,행정동,용산2가동,다원,3110081
약수동 찻집,행정동,약수동,찻집,3110050
약수동 티룸,행정동,약수동,티룸,3110050
약수동 티하우스,행정동,약수동,티하우스,3110050
약수동 티카페,행정동,약수동,티카페,3110050
약수동 다원,행정동,약수동,다원,3110050
용문동 찻집,행정동,용문동,찻집,3110060
용문동 티룸,행정동,용문동,티룸,3110060
용문동 티하우스,행정동,용문동,티하우스,3110060
용문동 티카페,행정동,용문동,티카페,3110060
용문동 다원,행정동,용문동,다원,3110060
효창동 찻집,행정동,효창동,찻집,3110061
효창동 티룸,행정동,효창동,티룸,3110061
효창동 티하우스,행정동,효창동,티하우스,3110061
효창동 티카페,행정동,효창동,티카페,3110061
효창동 다원,행정동,효창동,다원,3110061
한강로동 찻집,행정동,한강로동,찻집,3110062
삼각지역 찻집,지하철역,삼각지역,찻집,3110062
한강로동 티룸,행정동,한강로동,티룸,3110062
삼각지역 티룸,지하철역,삼각지역,티룸,3110062
한강로동 티하우스,행정동,한강로동,티하우스,3110062
삼각지역 티하우스,지하철역,삼각지역,티하우스,3110062
한강로동 티카페,행정동,한강로동,티카페,3110062
삼각지역 티카페,지하철역,삼각지역,티카페,3110062
한강로동 다원,행정동,한강로동,다원,3110062
삼각지역 다원,지하철역,삼각지역,다원,3110062
이태원1동 찻집,행정동,이태원1동,찻집,3110082
한강진역 찻집,지하철역,한강진역,찻집,3110082
이태원1동 티룸,행정동,이태원1동,티룸,3110082
한강진역 티룸,지하철역,한강진역,티룸,3110082
이태원1동 티하우스,행정동,이태원1동,티하우스,3110082
한강진역 티하우스,지하철역,한강진역,티하우스,3110082
이태원1동 티카페,행정동,이태원1동,티카페,3110082
한강진역 티카페,지하철역,한강진역,티카페,3110082
이태원1동 다원,행정동,이태원1동,다원,3110082
한강진역 다원,지하철역,한강진역,다원,3110082
서빙고동 찻집,행정동,서빙고동,찻집,3110083
서빙고역 찻집,지하철역,서빙고역,찻집,3110083
서빙고동 티룸,행정동,서빙고동,티룸,3110083
서빙고역 티룸,지하철역,서빙고역,티룸,3110083
서빙고동 티하우스,행정동,서빙고동,티하우스,3110083
서빙고역 티하우스,지하철역,서빙고역,티하우스,3110083
서빙고동 티카페,행정동,서빙고동,티카페,3110083
서빙고역 티카페,지하철역,서빙고역,티카페,3110083
서빙고동 다원,행정동,서빙고동,다원,3110083
서빙고역 다원,지하철역,서빙고역,다원,3110083
이태원2동 찻집,행정동,이태원2동,찻집,3110084
이태원2동 티룸,행정동,이태원2동,티룸,3110084
이태원2동 티하우스,행정동,이태원2동,티하우스,3110084
이태원2동 티카페,행정동,이태원2동,티카페,3110084
이태원2동 다원,행정동,이태원2동,다원,3110084
원효로1동 찻집,행정동,원효로1동,찻집,3110065
원효로1동 티룸,행정동,원효로1동,티룸,3110065
원효로1동 티하우스,행정동,원효로1동,티하우스,3110065
원효로1동 티카페,행정동,원효로1동,티카페,3110065
원효로1동 다원,행정동,원효로1동,다원,3110065
청파동 찻집,행정동,청파동,찻집,3110066
서울역 찻집,지하철역,서울역,찻집,3110066
청파동 티룸,행정동,청파동,티룸,3110066
서울역 티룸,지하철역,서울역,티룸,3110066
청파동 티하우스,행정동,청파동,티하우스,3110066
서울역 티하우스,지하철역,서울역,티하우스,3110066
청파동 티카페,행정동,청파동,티카페,3110066
서울역 티카페,지하철역,서울역,티카페,3110066
청파동 다원,행정동,청파동,다원,3110066
서울역 다원,지하철역,서울역,다원,3110066
남영역 찻집,지하철역,남영역,찻집,3110068
남영역 티룸,지하철역,남영역,티룸,3110068
남영역 티하우스,지하철역,남영역,티하우스,3110068
남영역 티카페,지하철역,남영역,티카페,3110068
남영역 다원,지하철역,남영역,다원,3110068
이촌1동 찻집,행정동,이촌1동,찻집,3110071
이촌1동 티룸,행정동,이촌1동,티룸,3110071
이촌1동 티하우스,행정동,이촌1동,티하우스,3110071
이촌1동 티카페,행정동,이촌1동,티카페,3110071
이촌1동 다원,행정동,이촌1동,다원,3110071
남영동 찻집,행정동,남영동,찻집,3110074
남영동 티룸,행정동,남영동,티룸,3110074
남영동 티하우스,행정동,남영동,티하우스,3110074
남영동 티카페,행정동,남영동,티카페,3110074
남영동 다원,행정동,남영동,다원,3110074
왕십리2동 찻집,행정동,왕십리2동,찻집,3110110
상왕십리역 찻집,지하철역,상왕십리역,찻집,3110110
왕십리2동 티룸,행정동,왕십리2동,티룸,3110110
상왕십리역 티룸,지하철역,상왕십리역,티룸,3110110
왕십리2동 티하우스,행정동,왕십리2동,티하우스,3110110
상왕십리역 티하우스,지하철역,상왕십리역,티하우스,3110110
왕십리2동 티카페,행정동,왕십리2동,티카페,3110110
상왕십리역 티카페,지하철역,상왕십리역,티카페,3110110
왕십리2동 다원,행정동,왕십리2동,다원,3110110
상왕십리역 다원,지하철역,상왕십리역,다원,3110110
응봉동 찻집,행정동,응봉동,찻집,3110111
행당역 찻집,지하철역,행당역,찻집,3110111
응봉동 티룸,행정동,응봉동,티룸,3110111
행당역 티룸,지하철역,행당역,티룸,3110111
응봉동 티하우스,행정동,응봉동,티하우스,3110111
행당역 티하우스,지하철역,행당역,티하우스,3110111
응봉동 티카페,행정동,응봉동,티카페,3110111
행당역 티카페,지하철역,행당역,티카페,3110111
응봉동 다원,행정동,응봉동,다원,3110111
행당역 다원,지하철역,행당역,다원,3110111
보광동 찻집,행정동,보광동,찻집,3110090
보광동 티룸,행정동,보광동,티룸,3110090
보광동 티하우스,행정동,보광동,티하우스,3110090
보광동 티카페,행정동,보광동,티카페,3110090
보광동 다원,행정동,보광동,다원,3110090
한남동 찻집,행정동,한남동,찻집,3110091
한남동 티룸,행정동,한남동,티룸,3110091
한남동 티하우스,행정동,한남동,티하우스,3110091
한남동 티카페,행정동,한남동,티카페,3110091
한남동 다원,행정동,한남동,다원,3110091
옥수역 찻집,지하철역,옥수역,찻집,3110098
옥수역 티룸,지하철역,옥수역,티룸,3110098
옥수역 티하우스,지하철역,옥수역,티하우스,3110098
옥수역 티카페,지하철역,옥수역,티카페,3110098
옥수역 다원,지하철역,옥수역,다원,3110098
옥수동 찻집,행정동,옥수동,찻집,3110100
옥수동 티룸,행정동,옥수동,티룸,3110100
옥수동 티하우스,행정동,옥수동,티하우스,3110100
옥수동 티카페,행정동,옥수동,티카페,3110100
옥수동 다원,행정동,옥수동,다원,3110100
금호4가동 찻집,행정동,금호4가동,찻집,3110103
금호역 찻집,지하철역,금호역,찻집,3110103
금호4가동 티룸,행정동,금호4가동,티룸,3110103
금호역 티룸,지하철역,금호역,티룸,3110103
금호4가동 티하우스,행정동,금호4가동,티하우스,3110103
금호역 티하우스,지하철역,금호역,티하우스,3110103
금호4가동 티카페,행정동,금호4가동,티카페,3110103
금호역 티카페,지하철역,금호역,티카페,3110103
금호4가동 다원,행정동,금호4가동,다원,3110103
금호역 다원,지하철역,금호역,다원,3110103
금호2?3가동 찻집,행정동,금호2?3가동,찻집,3110104
신금호역 찻집,지하철역,신금호역,찻집,3110104
금호2?3가동 티룸,행정동,금호2?3가동,티룸,3110104
신금호역 티룸,지하철역,신금호역,티룸,3110104
금호2?3가동 티하우스,행정동,금호2?3가동,티하우스,3110104
신금호역 티하우스,지하철역,신금호역,티하우스,3110104
금호2?3가동 티카페,행정동,금호2?3가동,티카페,3110104
신금호역 티카페,지하철역,신금호역,티카페,3110104
금호2?3가동 다원,행정동,금호2?3가동,다원,3110104
신금호역 다원,지하철역,신금호역,다원,3110104
금호1가동 찻집,행정동,금호1가동,찻집,3110108
금호1가동 티룸,행정동,금호1가동,티룸,3110108
금호1가동 티하우스,행정동,금호1가동,티하우스,3110108
금호1가동 티카페,행정동,금호1가동,티카페,3110108
금호1가동 다원,행정동,금호1가동,다원,3110108
성수1가2동 찻집,행정동,성수1가2동,찻집,3110129
뚝섬역 찻집,지하철역,뚝섬역,찻집,3110129
성수1가2동 티룸,행정동,성수1가2동,티룸,3110129
뚝섬역 티룸,지하철역,뚝섬역,티룸,3110129
성수1가2동 티하우스,행정동,성수1가2동,티하우스,3110129
뚝섬역 티하우스,지하철역,뚝섬역,티하우스,3110129
성수1가2동 티카페,행정동,성수1가2동,티카페,3110129
뚝섬역 티카페,지하철역,뚝섬역,티카페,3110129
성수1가2동 다원,행정동,성수1가2동,다원,3110129
뚝섬역 다원,지하철역,뚝섬역,다원,3110129
용답동 찻집,행정동,용답동,찻집,3110130
답십리역 찻집,지하철역,답십리역,찻집,3110130
용답동 티룸,행정동,용답동,티룸,3110130
답십리역 티룸,지하철역,답십리역,티룸,3110130
용답동 티하우스,행정동,용답동,티하우스,3110130
답십리역 티하우스,지하철역,답십리역,티하우스,3110130
용답동 티카페,행정동,용답동,티카페,3110130
답십리역 티카페,지하철역,답십리역,티카페,3110130
용답동 다원,행정동,용답동,다원,3110130
답십리역 다원,지하철역,답십리역,다원,3110130
성수2가1동 찻집,행정동,성수2가1동,찻집,3110131
성수역 찻집,지하철역,성수역,찻집,3110131
성수2가1동 티룸,행정동,성수2가1동,티룸,3110131
성수역 티룸,지하철역,성수역,티룸,3110131
성수2가1동 티하우스,행정동,성수2가1동,티하우스,3110131
성수역 티하우스,지하철역,성수역,티하우스,3110131
성수2가1동 티카페,행정동,성수2가1동,티카페,3110131
성수역 티카페,지하철역,성수역,티카페,3110131
