가게명,카테고리,도로명주소,lon,lat,상권_코드,상권_코드_명
다심헌,음식점 > 카페 > 전통찻집,서울 종로구 옥인길 8,126.96806077211444,37.58065208276528,3110008,배화여자대학교(박노수미술관)
전통문화원,음식점 > 카페 > 전통찻집,서울 종로구 자하문로 51,126.970886578474,37.5805302783619,3130001,통인시장
호전다실,음식점 > 카페 > 전통찻집,서울 종로구 자하문로11길 16-2,126.970443079391,37.579798561157,3130001,통인시장
서울서둘째로잘하는집,음식점 > 카페 > 전통찻집,서울 종로구 삼청로 122-1,126.9818338546895,37.5862501745141,3120005,삼청동
연경당,음식점 > 카페 > 전통찻집,서울 종로구 팔판길 26,126.98126292037544,37.58295245025109,3120005,삼청동
차마시는뜰 차뜰,음식점 > 카페 > 전통찻집,서울 종로구 북촌로11나길 26,126.98226506208036,37.582155225838505,3120005,삼청동
다담찻집,음식점 > 카페 > 전통찻집,서울 종로구 삼청로 76,126.981854099593,37.5821407474772,3120005,삼청동
다연,음식점 > 카페 > 전통찻집,서울 종로구 삼청로 48-12,126.98057296221528,37.58043856653446,3120005,삼청동
동양차문화관,음식점 > 카페 > 전통찻집,서울 종로구 북촌로11길 76,126.983592684909,37.5838628003638,3110017,정독도서관
월하보이,음식점 > 카페 > 전통찻집,서울 종로구 북촌로5길 26,126.983561939184,37.5795200068365,3120007,북촌(안국역)
금정헌,음식점 > 카페 > 전통찻집,서울 종로구 북촌로11길 32,126.983697187403,37.5822878783646,3110017,정독도서관
차향기듣는집,음식점 > 카페 > 전통찻집,서울 종로구 북촌로5길 29,126.983149897003,37.5793361459711,3120007,북촌(안국역)
티솔로지,음식점 > 카페 > 전통찻집,서울 종로구 윤보선길 71,126.983346912842,37.5791956188603,3120007,북촌(안국역)
터틀도브,음식점 > 카페,서울 종로구 사직로9가길 13,126.968746154634,37.5768599822792,3130002,세종마을음식문화거리(금천교시장)
전통찻집덕수궁,음식점 > 카페 > 전통찻집,서울 중구 서소문로 109,126.97325215264,37.5630551367495,3120020,시청역_1번
서울에서 첫번째로잘하는 전통찻집,음식점 > 카페 > 전통찻집,서울 중구 세종대로 124,126.977886902592,37.5674601648644,3120023,서울시청
코레아노,음식점 > 카페 > 전통찻집,서울 중구 중림로 10,126.96598209895836,37.55849422210736,3120018,중림동
서울에서첫번째전통찻집,음식점 > 카페 > 전통찻집,서울 종로구 종로 19,126.979914362749,37.5709311619802,3120006,종각역
한옥찻집,음식점 > 카페 > 전통찻집,서울 종로구 인사동12길 9,126.984864848692,37.5745944450705,3120008,인사동
전통찻집지대방,음식점 > 카페 > 전통찻집,서울 종로구 인사동길 33,126.98554993689189,37.57348630732058,3120008,인사동
반짝반짝빛나는,음식점 > 카페 > 전통찻집,서울 종로구 인사동길 28-1,126.986062774614,37.573278239159016,3120008,인사동
경인미술관 전통다원,음식점 > 카페 > 전통찻집,서울 종로구 인사동10길 11-4,126.98544221019,37.5744422495732,3120008,인사동
즐거운찻집,음식점 > 카페 > 전통찻집,서울 종로구 인사동길 55-2,126.983581056988,37.5749465624177,3120008,인사동
전통찻집 인사동,음식점 > 카페 > 전통찻집,서울 종로구 인사동길 33-1,126.9854423883843,37.57352683887668,3120008,인사동
신옛찻집,음식점 > 카페 > 전통찻집,서울 종로구 인사동길 47-8,126.983907231673,37.5742474354404,3120008,인사동
보이차전문점 명가원,음식점 > 카페 > 전통찻집,서울 종로구 윤보선길 19-18,126.983545436749,37.5773432027457,3120007,북촌(안국역)
나무새찻집,음식점 > 카페 > 전통찻집,서울 종로구 인사동길 47-9,126.984038560759,37.5741771756783,3120008,인사동
이원전통찻집,음식점 > 카페 > 전통찻집,서울 종로구 삼봉로 60,126.980425659419,37.5722791366222,3120004,종로구청
도채비도반한찻집,음식점 > 카페 > 전통찻집,서울 종로구 인사동길 45,126.984423443888,37.5741898410164,3120008,인사동
인티맥스 휴다인,음식점 > 카페 > 전통찻집,서울 종로구 우정국로 65-6,126.982426382768,37.5749680200468,3120004,종로구청
수요일,음식점 > 카페 > 전통찻집,서울 종로구 인사동길 36,126.9854151675,37.5737971339721,3120008,인사동
일광정사,음식점 > 카페 > 전통찻집,서울 종로구 인사동11길 22,126.983540540338,37.573872571052,3120008,인사동
머무름,음식점 > 카페 > 전통찻집,서울 종로구 인사동12길 5,126.98475393117,37.5744926183951,3120008,인사동
보성전통찻집,음식점 > 카페 > 전통찻집,서울 종로구 종로7길 47,126.982789383446,37.5717028680163,3120006,종각역
차차티클럽 북촌라운지,음식점 > 카페 > 전통찻집,서울 종로구 계동길 103-7,126.986302312897,37.581895376215,3110018,중앙고등학교
꽃담 인사동본점,음식점 > 카페 > 전통찻집,서울 종로구 인사동길 19-2,126.986325511411,37.572665593314,3130004,낙원시장(낙원지하시장(대일상가))
흐린세상건너기,음식점 > 카페 > 전통찻집,서울 종로구 인사동14길 20,126.985188551843,37.5748746954755,3120008,인사동
인산인해,음식점 > 카페 > 전통찻집,서울 종로구 인사동길 27-1,126.985940548743,37.5731160455798,3120008,인사동
사람과나무,음식점 > 카페 > 전통찻집,서울 종로구 인사동6길 5,126.98621217779186,37.57339358405024,3120008,인사동
풍경이있는전통찻집커피,음식점 > 카페 > 전통찻집,서울 종로구 인사동길 29,126.985808079336,37.57324937697804,3120008,인사동
끽다거,음식점 > 카페 > 전통찻집,서울 종로구 북촌로4길 27,126.98664692344546,37.57942128676985,3120007,북촌(안국역)
바람부는섬,음식점 > 카페 > 전통찻집,서울 종로구 인사동길 20,126.986764751256,37.5725178801925,3130004,낙원시장(낙원지하시장(대일상가))
한경헌,음식점 > 카페 > 전통찻집,서울 종로구 창덕궁길 170,126.986577185881,37.5832072543151,3110018,중앙고등학교
청호다원,음식점 > 카페 > 전통찻집,서울 종로구 우정국로 58,126.983132944375,37.5741896636862,3120004,종로구청
로댕찻집,음식점 > 카페 > 전통찻집,서울 종로구 인사동16길 8-4,126.984536456315,37.5751052664883,3120008,인사동
편강율플래그십&티하우스,음식점 > 카페,서울 종로구 북촌로5가길 35-4,126.98121811311,37.5810468417353,3120005,삼청동
로네펠트티하우스 광화문점,음식점 > 카페,서울 종로구 새문안로 76,126.97332556672318,37.56984145474987,3120003,광화문역
티하우스일지,음식점 > 카페,서울 종로구 윤보선길 38,126.983834035177,37.5777045413115,3120007,북촌(안국역)
티하우스 일지,음식점 > 카페,서울 종로구 인사동11길 23,126.983427383431,37.5736725343622,3120008,인사동
룩아워티with 한삼인카페 서대문점,음식점 > 카페,서울 중구 통일로 120,126.967546419867,37.5658576064926,3120001,서대문역
청운다원,음식점 > 카페 > 전통찻집,서울 종로구 인사동7길 6,126.985782058343,37.573170086294,3120008,인사동
란비,음식점 > 카페,서울 서대문구 통일로39가길 31,126.94250113312154,37.58932887360587,3110521,홍제역 4번
카페커퍼티,음식점 > 카페,서울 서대문구 명지대길 29,126.9244812909789,37.58162604315908,3110503,명지대학교교회
수연산방,음식점 > 카페 > 전통찻집,서울 성북구 성북로26길 8,126.99483655959386,37.59507217364634,3110281,길상사
다음,음식점 > 카페 > 전통찻집,서울 성북구 성북로26길 35,126.9935660310772,37.59565775572466,3110281,길상사
다원,음식점 > 카페,서울 성북구 대사관로 3,126.984142356361,37.5971759372676,3110280,북정마을
다라니다원,음식점 > 카페,서울 성북구 선잠로5길 68,126.9934865102228,37.59860489378696,3110281,길상사
사모,음식점 > 카페 > 전통찻집,서울 종로구 창덕궁길 106-1,126.989577528255,37.5822380883867,3110018,중앙고등학교
심우방,음식점 > 카페 > 전통찻집,서울 종로구 인사동12길 1,126.984532064606,37.5744457378074,3120008,인사동
뜰안,음식점 > 카페 > 전통찻집,서울 종로구 수표로28길 17-35,126.9893817511,37.5736822300454,3130004,낙원시장(낙원지하시장(대일상가))
명장지가,음식점 > 카페 > 전통찻집,서울 종로구 인사동10길 23,126.98629348168802,37.5744874012164,3120008,인사동
지유명차 종로점,음식점 > 카페 > 전통찻집,서울 종로구 돈화문로 79,126.99048861685668,37.57556540335334,3110019,창덕궁
민들레전통찻집,음식점 > 카페 > 전통찻집,서울 종로구 인사동길 37-3,126.9850121982444,37.57366373625709,3120008,인사동
초당다실,음식점 > 카페 > 전통찻집,서울 종로구 인사동11길 16,126.983893712656,37.5739446993497,3120008,인사동
오가다 종로2가인사동점,음식점 > 카페 > 전통찻집 > 오가다,서울 종로구 인사동길 9,126.98686699829813,37.57171276239972,3130004,낙원시장(낙원지하시장(대일상가))
내마음의풍경,음식점 > 카페 > 전통찻집,서울 종로구 인사동길 15-11,126.986070924003,37.5720682038319,3130004,낙원시장(낙원지하시장(대일상가))
의전방,음식점 > 카페 > 전통찻집,서울 종로구 삼봉로 81,126.981829293242,37.5724091042983,3120004,종로구청
다인,음식점 > 카페 > 전통찻집,서울 중구 세종대로18길 16-3,126.978190278457,37.5635003434677,3120022,북창동(시청역_6번)
로네펠트 티하우스 동대문점,음식점 > 카페,서울 중구 을지로 224,127.0028750342908,37.56666391845504,3130036,중부시장(신중부시장)
슬로운,음식점 > 카페,서울 종로구 율곡로10길 15-5,126.991259388963,37.5768124392837,3110019,창덕궁
티카페 서울대학교병원 암병원점,음식점 > 카페,서울 종로구 대학로 101,126.997673561578,37.5787913232575,3110023,서울대병원
티카페,음식점 > 카페,서울 종로구 대학로 71,127.00151471127184,37.57775969815928,3110023,서울대병원
종묘전통다원,음식점 > 카페,서울 종로구 서순라길 39,126.993420883264,37.5722913880274,3120009,종로3가역
더쌍화 본사,음식점 > 카페 > 전통찻집,서울 종로구 종로 252-16,127.0057277313081,37.57059215546308,3130010,종로신진시장
문경새재,음식점 > 카페 > 전통찻집,서울 종로구 종로46길 5,127.010971081631,37.5712675310865,3120016,동대문역
한옥카페 숙임당,음식점 > 카페 > 전통찻집,서울 성북구 보문로13가길 34-1,127.021027043294,37.5816176931423,3110302,보문역 8번
지유명차 인사점,음식점 > 카페 > 전통찻집,서울 종로구 인사동길 12,126.98724481352,37.5719449001715,3130004,낙원시장(낙원지하시장(대일상가))
연화정,음식점 > 카페 > 전통찻집,서울 종로구 인사동길 15-3,126.986524838469,37.5721322271674,3130004,낙원시장(낙원지하시장(대일상가))
성차사진품보이차,음식점 > 카페 > 전통찻집,서울 종로구 인사동길 11-1,126.9866811022754,37.571852936411055,3130004,낙원시장(낙원지하시장(대일상가))
푸얼방장,음식점 > 카페 > 전통찻집,서울 종로구 인사동4길 6,126.9866605103,37.5730656734109,3130004,낙원시장(낙원지하시장(대일상가))
이원전통찻집,음식점 > 카페 > 전통찻집,서울 종로구 종로11길 29,126.985551440529,37.5715626831259,3120006,종각역
다정차끓이는솥,음식점 > 카페 > 전통찻집,서울 종로구 인사동5길 3,126.98599494080104,37.572816921719024,3120008,인사동
차향가,음식점 > 카페 > 전통찻집,서울 종로구 인사동길 25,126.986062821628,37.5730259605843,3120008,인사동
궁전전통찻집,음식점 > 카페 > 전통찻집,서울 은평구 불광로 25-1,126.928581178989,37.6107774630865,3130170,제일시장
수무카,음식점 > 카페 > 전통찻집,서울 중구 청파로 437,126.969034453818,37.5586266076669,3120018,중림동
라오상하이 신촌점,음식점 > 카페 > 전통찻집,서울 서대문구 연세로12길 27,126.93850426397204,37.559091280804665,3110520,경의중앙 신촌역
숭례문전통찻집,음식점 > 카페 > 전통찻집,서울 중구 남대문시장길 12-7,126.97678565031,37.5598384251471,3130022,숭례문수입상가(남대문시장)
다도레 티룸,음식점 > 카페 > 전통찻집,서울 서대문구 증가로 13-9,126.931114626045,37.5691324067676,3130174,연희사러가
클로리스 신촌점,음식점 > 카페,서울 서대문구 연세로4길 38,126.93874867003971,37.55778225913004,3110520,경의중앙 신촌역
민속찻집,음식점 > 카페 > 전통찻집,서울 중구 남대문시장길 22-14,126.97707429269,37.5597294609205,3130024,남대문시장(자유상가)
운비차실,음식점 > 카페 > 전통찻집,서울 중구 퇴계로6길 17,126.978550803325,37.5574772455228,3120024,회현역
보이차,음식점 > 카페 > 전통찻집,서울 종로구 우정국로 43,126.98276874875148,37.57282730684326,3120004,종로구청
티룸 로제티,음식점 > 카페,서울 용산구 후암로28바길 3,126.98017371338898,37.54908383217298,3110079,후암동주민센터
세라젬카페오가다 왕십리점,음식점 > 카페 > 전통찻집 > 오가다,서울 중구 마장로 119,127.02321803571586,37.56806902585513,3130055,"황학시장(서울중앙시장, 신중앙시장)"
선길,음식점 > 카페 > 전통찻집,서울 동대문구 천호대로16길 16,127.031166256283,37.5731343926897,3110188,용두동신동아아파트
참다정,음식점 > 카페 > 전통찻집,서울 동대문구 약령중앙로 26,127.0373098837282,37.580456793803535,3130087,경동광성상가(경동시장)
지유명차 신당점,음식점 > 카페 > 전통찻집,서울 중구 청구로 95,127.0116441136108,37.56083573471791,3110053,청구역 1번
고호재,음식점 > 카페 > 전통찻집,서울 중구 퇴계로36길 10,126.994592232018,37.5602199032118,3120032,충무로역
참좋은,음식점 > 카페 > 전통찻집,서울 중구 마른내로2길 19,126.991984196121,37.56353722465157,3120030,중부경찰서(영화인의거리)
차차티클럽 창신한옥,음식점 > 카페,서울 종로구 종로46가길 13,127.01136497945254,37.57107828482447,3120016,동대문역
엘마드레,음식점 > 카페,서울 성북구 성북로8길 14,127.00455286754992,37.59104836899993,3110288,동구여중
에스프레소카페티,음식점 > 카페,서울 성동구 행당로 75,127.028556594514,37.5572631050728,3110112,행당역 2번
정진보이차,음식점 > 카페 > 전통찻집,서울 종로구 우정국로 52,126.98314439532508,37.57360942465669,3120008,인사동
흙다방,음식점 > 카페 > 전통찻집,서울 중구 을지로 지하 88,126.986868880059,37.5661523585111,3120029,을지로2가
사랑채,음식점 > 카페 > 전통찻집,서울 중구 삼일대로 363,126.9870509416448,37.56715518708459,3120029,을지로2가
예평,음식점 > 카페 > 전통찻집,서울 용산구 회나무로25길 1,126.9914458660238,37.53994274674658,3110085,경리단길남측
티하우스일지 한남점,음식점 > 카페 > 전통찻집,서울 용산구 이태원로45길 22,126.9984397332,37.5365543842281,3110091,리움미술관
델픽 안국플래그십스토어,"서비스,산업 > 식품 > 음료,주류제조 > 차,커피",서울 종로구 계동길 84-3,126.9869692521386,37.58125034027411,3110018,중앙고등학교
보성다원,"서비스,산업 > 식품 > 음료,주류제조 > 차,커피",서울 중구 퇴계로 224,126.996672430518,37.5615804853488,3120032,충무로역
오므오트,음식점 > 카페 > 전통찻집,서울 성동구 서울숲2길 12,127.039945805106,37.5472226825663,3110120,서울숲카페거리
티룸,음식점 > 카페,서울 성동구 서울숲길 52,127.043205250676,37.5479351259773,3110120,서울숲카페거리
리브르 티하우스 성수,음식점 > 카페,서울 성동구 서울숲4길 20,127.043012447699,37.5471909713625,3110120,서울숲카페거리
지유명차 용산점,음식점 > 카페 > 전통찻집,서울 용산구 새창로20길 3,126.959455866271,37.5383242073277,3110060,효창공원앞역 6번
온넬,음식점 > 카페 > 전통찻집,서울 용산구 한강대로 37,126.963086633232,37.5248247953496,3110062,한강로동땡땡거리(은행나무길)
무심헌 용산점,음식점 > 카페 > 전통찻집,서울 용산구 한강대로44길 10,126.9704126018484,37.53091042221498,3110073,삼각지역 3번
다인전통찻집,음식점 > 카페 > 전통찻집,서울 마포구 신촌로 182,126.945667012953,37.556443159523,3110582,이대역 5번
사랑방,음식점 > 카페 > 전통찻집,서울 영등포구 국제금융로6길 30,126.926574475482,37.521765955821,3120149,여의도역(여의도)
지유명차 여의도점,음식점 > 카페 > 전통찻집,서울 영등포구 국제금융로6길 33,126.9269148023,37.5207822719756,3120149,여의도역(여의도)
더느림카페,음식점 > 카페 > 전통찻집,서울 서대문구 이화여대2가길 19,126.94606860879,37.5582561501111,3130179,"이화여대 3,5,7길 상점가"
대현동전통찻집,음식점 > 카페 > 전통찻집,서울 서대문구 신촌역로 16,126.943156720096,37.5580313368353,3120096,"이화여대(이대역, 이대)"
차향기,음식점 > 카페 > 전통찻집,서울 영등포구 여의나루로 42,126.924991155576,37.5213721237516,3120149,여의도역(여의도)
박수진전통찻집,음식점 > 카페 > 전통찻집,서울 영등포구 국회대로68길 11,126.919686389764,37.5292091553224,3120148,국회의사당역(국회의사당)
사유공간찻집,음식점 > 카페,서울 용산구 서빙고로 137,126.9818547006514,37.52364885686195,3110078,이촌동점보아파트
티하우스레몬 신용산,음식점 > 카페,서울 용산구 한강대로 95,126.9674908159398,37.52970321313072,3120041,신용산역(용산역)
