역명,역_lon,역_lat,호선
4.19민주묘지역,127.01369763482,37.6495307746374,
가락시장역,127.118262745146,37.4930992522183,"3호선, 8호선"
가양역,126.85442142615852,37.56143311719883,9호선
가오리역,127.01676896839822,37.6415440572233,
가좌역,126.914815128053,37.5687433529646,
강남구청역,127.0413109462156,37.51721617197854,7호선
강남역,127.02800140627488,37.49808633653005,2호선
강동구청역,127.12044373032,37.5302111983522,8호선
개롱역,127.13507959838424,37.49796827838824,5호선
개봉역,126.858715959622,37.4946417150651,1호선
개화산역,126.806814314979,37.5725371505293,5호선
거여역,127.143773841911,37.4933304500736,5호선
건대입구역,127.06920291650827,37.54040751726388,"2호선, 7호선"
경의중앙 신촌역,126.94208931819855,37.55967513765615,
경찰병원역,127.124482397777,37.4960049150853,3호선
고덕역,127.15416500963448,37.55504766830918,5호선
고려대역,127.03630828564728,37.59044191064368,6호선
공릉역,127.073033585328,37.6255427648558,7호선
공항시장역,126.81060964296609,37.56368922800772,9호선
광나루역,127.103521464507,37.5452991715677,5호선
광운대역,127.061695160651,37.6238373628149,1호선
광화문역,126.97642427981408,37.57164860977568,5호선
광흥창역,126.93202965599583,37.54748648317645,6호선
구로디지털단지역,126.901473080039,37.4852605752505,2호선
구로역,126.88230806229326,37.50334155631282,1호선
구반포역,126.987464905696,37.5014398319603,9호선
구산역,126.91725947715172,37.61124669148435,6호선
구의역,127.086180837795,37.5371752725594,2호선
구파발역,126.918852820009,37.6364357889145,3호선
군자역,127.0795106156054,37.55715148883792,"5호선, 7호선"
굽은다리역,127.14288387331295,37.54551759022203,5호선
금호역,127.01582916945284,37.548260922874086,3호선
길동역,127.140021295948,37.5378264874159,5호선
길음역,127.02506019737066,37.60339478231664,4호선
까치산역,126.846444264065,37.5322306724471,"2호선, 5호선"
남구로역,126.88741505160267,37.48625714438263,7호선
남부터미널역,127.01620028391,37.4851996335293,3호선
남성역,126.9709102006532,37.484793511299706,7호선
남영역,126.97133096608212,37.540566672483216,1호선
내방역,126.993600180589,37.4876585212369,7호선
노량진역,126.940893179777,37.5135856714992,"1호선, 9호선"
노원역,127.063449137455,37.6563403513278,"4호선, 7호선"
논현역,127.02165424259898,37.51120000205266,7호선
답십리역,127.05256127651292,37.56697480965114,5호선
당고개역,127.07906662027122,37.67021773630595,
당산역,126.902611795523,37.5347843171332,"2호선, 9호선"
대림역,126.894931036051,37.4933099444417,"2호선, 7호선"
대방역,126.9264944914272,37.51335413975466,1호선
대치역,127.063203409529,37.4944966528582,3호선
대흥역,126.942473188734,37.5476479056751,6호선
도봉산역,127.04606271663916,37.68951167833238,"1호선, 7호선"
도봉역,127.045534886672,37.6792119046658,1호선
독립문역,126.95791371132584,37.57446627898665,3호선
돌곶이역,127.0564381246322,37.61054501416126,6호선
동대문역,127.0106338108367,37.57166940579655,"1호선, 4호선"
동대문역사문화공원역,127.00900417014896,37.56566440553802,"2호선, 4호선, 5호선"
동묘앞역,127.016364227103,37.5732166600283,"1호선, 6호선"
둔촌동역,127.13621464981398,37.52765684247226,5호선
둔촌역,127.13621464981398,37.52765684247226,
등촌역,126.86557100595412,37.55072898032888,9호선
뚝섬역,127.04738727881,37.547241554679,2호선
뚝섬유원지역,127.06679509976304,37.53155927720518,
마들역,127.057712619869,37.6652017465321,7호선
마장역,127.042984855663,37.5661389565959,5호선
마포구청역,126.903425598797,37.5634871865932,6호선
마포역,126.94586257221307,37.53955402908912,5호선
망우역,127.092367383432,37.5992960295399,
망원역,126.910094329982,37.5560826563712,6호선
매봉역,127.046711448388,37.4869394661317,3호선
먹골역,127.077762187968,37.6106193846197,7호선
면목역,127.087503803859,37.5887148877725,7호선
명일역,127.14404374474,37.5513978958277,5호선
목동역,126.86462527157516,37.526135115923466,5호선
몽촌토성역,127.11286534895456,37.5178055794687,8호선
문래역,126.894778820701,37.5179757181801,2호선
문정역,127.122484886901,37.4860310539381,8호선
미아사거리역,127.03008663628454,37.61327836400571,4호선
미아역,127.026041090189,37.6266544891889,4호선
발산역,126.83773640693936,37.5586777432416,5호선
방배역,126.997553345516,37.4814561268152,2호선
방이역,127.126096046986,37.5087506251989,5호선
방학역,127.044321721307,37.6674383662755,1호선
방화역,126.812819296675,37.5776031994404,5호선
보라매역,126.92061230710924,37.49992085496506,7호선
보문역,127.020003515933,37.585541696968,6호선
봉은사역,127.060233935114,37.5142554489848,9호선
봉천역,126.941686527151,37.4824725161034,2호선
북한산보국문역,127.008263392003,37.6121367531121,
북한산우이역,127.012757130876,37.66288704047998,
불광역,126.930315826401,37.6100477979795,"3호선, 6호선"
사가정역,127.088504554212,37.5809403751459,7호선
사당역,126.98155858357366,37.47656223234824,"2호선, 4호선"
삼각지역,126.972922951307,37.5344393447708,"4호선, 6호선"
삼성역,127.06302321147604,37.508822740225305,2호선
삼성중앙역,127.053043676912,37.5129614511319,9호선
삼양사거리역,127.020488845069,37.6213181360851,
삼전역,127.08736363126371,37.50454909705648,9호선
상계역,127.073421632239,37.660720544722,4호선
상도역,126.947917975554,37.5028706251049,7호선
상봉역,127.085754455388,37.5955853328943,7호선
상수역,126.92242989321456,37.54776618366393,6호선
상왕십리역,127.02927241035285,37.56443666620397,2호선
상월곡역,127.048829192974,37.6065588265169,6호선
새절역,126.913580663181,37.5908600479967,6호선
서강대역,126.935507621173,37.5521384864879,
서대문역,126.96663755850754,37.56575193662503,5호선
서빙고역,126.98841094338457,37.51956813939535,
서울대입구역,126.952713197762,37.4812845080678,2호선
서울숲역,127.044746216358,37.543645796605,
서울역,126.96974961781686,37.55332892758497,"1호선, 4호선"
서초역,127.007662120039,37.4918499338918,2호선
석계역,127.06568946412852,37.61500552731744,"1호선, 6호선"
석촌고분역,127.0965081858022,37.50246245994369,9호선
석촌역,127.107004062699,37.5054141216925,"8호선, 9호선"
선릉역,127.04896282498558,37.504497373023206,2호선
선유도역,126.89333386450168,37.53815865606546,9호선
선정릉역,127.043627289129,37.5109326388803,9호선
성수역,127.056066999327,37.5445888153751,2호선
성신여대입구역,127.0171260607647,37.59296812939267,4호선
솔밭공원역,127.013268181236,37.6559782562487,
송정역,126.812430347154,37.5611612387718,5호선
송파나루역,127.11266171422028,37.51101671275264,9호선
송파역,127.112193506363,37.4997149535067,8호선
수락산역,127.055350968781,37.6778814656816,7호선
수색역,126.895659474538,37.5808625683358,
수서역,127.1020587435978,37.487459640349336,3호선
수유역,127.02550910860452,37.63788539420793,4호선
숙대입구역,126.972118127373,37.5445952301115,4호선
숭실대입구역,126.953621963422,37.4963172817574,7호선
신금호역,127.02049316578317,37.55447619249223,5호선
신길역,126.91836721069228,37.51678703217714,"1호선, 5호선"
신내역,127.104271439503,37.6124910157349,6호선
신논현역,127.025492036104,37.504811111562,9호선
신당역,127.019477533278,37.5656730531732,"2호선, 6호선"
신대방삼거리역,126.92821094566963,37.49975722890856,7호선
신대방역,126.91350747615148,37.48765046104574,2호선
신도림역,126.891312500851,37.508908482648,"1호선, 2호선"
신림역,126.9297453749671,37.48426713514037,2호선
신목동역,126.883095790252,37.5442883741577,9호선
신방화역,126.81723757150974,37.56748745669626,9호선
신사역,127.02030856272764,37.51643597531432,3호선
신설동역,127.024456700382,37.5760299683175,"1호선, 2호선"
신정네거리역,126.852889567642,37.5202231231721,2호선
신정역,126.856097474225,37.5250276134139,5호선
신촌역,126.93698075993808,37.55519816936644,2호선
신풍역,126.90975434386,37.5001229935524,7호선
아차산역,127.08956495447912,37.55224917071854,5호선
아현역,126.95614644008904,37.55740617797663,2호선
안암역,127.029233420248,37.586307417971,6호선
암사역,127.12754072968517,37.55015818096496,8호선
압구정역,127.02850865895756,37.52649127416921,3호선
애오개역,126.956669363197,37.5534131497489,5호선
약수역,127.010891666957,37.5545053994984,"3호선, 6호선"
양재역,127.03416413380752,37.48457681195669,3호선
양천향교역,126.841978835328,37.5680808809647,9호선
양평역,126.886419282885,37.5255796429707,5호선
어린이대공원역,127.07465525507352,37.54796087622509,7호선
언주역,127.033970921595,37.5073353959717,9호선
역삼역,127.03646946847,37.5006744185994,2호선
역촌역,126.9228437430386,37.60622745935512,6호선
연신내역,126.92110296894133,37.61920414913163,"3호선, 6호선"
염창역,126.874871603971,37.546982941543,9호선
영등포구청역,126.89667739939,37.5258305311402,"2호선, 5호선"
영등포시장역,126.905179566968,37.522709383885,5호선
영등포역,126.907550274975,37.5156726288261,1호선
오금역,127.127953219596,37.5021388575469,"3호선, 5호선"
오류동역,126.84480744815396,37.49439720933549,1호선
오목교역,126.875307312696,37.5245340839144,5호선
옥수역,127.017393782846,37.5415662783673,3호선
온수역,126.823847928009,37.4919675365056,"1호선, 7호선"
왕십리역,127.03710337610202,37.561268363317176,"2호선, 5호선"
외대앞역,127.06369251145765,37.596274142656114,1호선
우장산역,126.83632627213518,37.54881618721654,5호선
월계역,127.058857087601,37.6332775453974,1호선
월곡역,127.041460725816,37.6018044172918,6호선
을지로3가역,126.99098443539428,37.56629149790628,"2호선, 3호선"
을지로4가역,126.997632059113,37.5666405038268,"2호선, 5호선"
을지로입구역,126.9821953112953,37.56603551771296,2호선
응암역,126.9155399209037,37.5984928632876,6호선
이대역,126.94642954546576,37.556814718869,2호선
이수역,126.98167629035196,37.48528852311765,7호선
잠실나루역,127.103808749487,37.5207124124456,2호선
잠실역,127.10023101886318,37.51331105877401,"2호선, 8호선"
잠원역,127.011419491429,37.5128899169357,3호선
장승배기역,126.939072381356,37.5048990621814,7호선
정릉역,127.013539545056,37.602614606648,
제기동역,127.03494949507864,37.57817349658033,1호선
종각역,126.98315081716676,37.57022799091224,1호선
종로3가역,126.992153252476,37.570420844523,"1호선, 3호선, 5호선"
종로5가역,127.00153834521934,37.57097610838373,1호선
중곡역,127.08431236632154,37.56592206115955,7호선
중랑역,127.075680398461,37.5948425975025,
중화역,127.079312037122,37.6025526943256,7호선
증산역,126.909494991105,37.583746353282,6호선
창동역,127.047644999036,37.6533385121404,"1호선, 4호선"
창신역,127.01529688465332,37.57941474393655,6호선
천호역,127.12392845044,37.5385112120297,"5호선, 8호선"
청구역,127.014165812912,37.5609165488093,"5호선, 6호선"
청담역,127.053717937903,37.519455579961,7호선
충무로역,126.99414960395544,37.56139658395457,"3호선, 4호선"
충정로역,126.96449207476172,37.55976328822766,"2호선, 5호선"
태릉입구역,127.075405300578,37.618459513199,"6호선, 7호선"
학동역,127.03190190063152,37.51434578734927,7호선
한강진역,127.001765135176,37.5397907743775,6호선
한성대입구역,127.0060178168558,37.58842461354086,4호선
한성백제역,127.116449169971,37.5165379932802,9호선
한양대역,127.043639802768,37.5557159860408,2호선
한티역,127.052909749417,37.4962857047653,
합정역,126.91445406513526,37.54991315995173,"2호선, 6호선"
행당역,127.029511840513,37.5573637818732,5호선
혜화역,127.00194500977392,37.58204391787134,4호선
홍대입구역,126.923778562273,37.5568707448873,2호선
홍제역,126.944158007985,37.5887953806088,3호선
화계역,127.017510491529,37.6340873974011,
화곡역,126.840455026335,37.5416507925709,5호선
화랑대역,127.08354181123268,37.61984245540276,6호선
회기역,127.058048369273,37.5897962196601,1호선
회현역,126.9784372569283,37.55876114587941,4호선
효창공원앞역,126.96139810075,37.5393087503306,6호선
